Migrated  | Project                                                                                |  GitHub URL
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
   Y      | https://forge.gluster.org/glusterfs-core                                               |  https://github.com/gluster/glusterfs
   -      | https://forge.gluster.org/bareos                                                       |  - Doesn't need migrating
   N      | https://forge.gluster.org/bugzappers                                                   |  Niels will probably migrate this
   N      | https://forge.gluster.org/cdc                                                          |
   N      | https://forge.gluster.org/clang-compiled-glusterfs                                     |
   -      | https://forge.gluster.org/cloudstack-gluster                                           |  - Doesn't need migrating
   -      | https://forge.gluster.org/compliance                                                   |  - Doesn't need migrating
   N      | https://forge.gluster.org/ctdb-ec2                                                     |
   -      | https://forge.gluster.org/data-classification                                          |  - Doesn't need migrating
   -      | https://forge.gluster.org/disperse                                                     |  - Doesn't need migrating
   N      | https://forge.gluster.org/distributed-geo-rep                                          |
   N      | https://forge.gluster.org/dockerized-glusterfs                                         |
   N      | https://forge.gluster.org/dockit                                                       |
   N      | https://forge.gluster.org/file-versioning                                              |
   N      | https://forge.gluster.org/fio                                                          |
   N      | https://forge.gluster.org/fluent-plugin-glusterfs                                      |
   -      | https://forge.gluster.org/foreman-gluster                                              |  - Doesn't need migrating
   Y      | https://forge.gluster.org/gant                                                         |  https://github.com/kshlm/gant
   -      | https://forge.gluster.org/gfapi-module-for-linux-target-driver-                        |  - Doesn't need migrating
   N      | https://forge.gluster.org/gflocator                                                    |
   N      | https://forge.gluster.org/glubix                                                       |
   Y      | https://forge.gluster.org/glupy                                                        |  https://github.com/gluster/glupy
   -      | https://forge.gluster.org/gluster-client-juju-subordinate-charm                        |  - Doesn't need migrating
   -      | https://forge.gluster.org/gluster-docs-project                                         |  - Doesn't need migrating
   -      | https://forge.gluster.org/gluster-juju-charm                                           |  - Doesn't need migrating
   -      | https://forge.gluster.org/gluster-meta-data-on-ssd                                     |  - Doesn't need migrating
   N      | https://forge.gluster.org/glupkgmain-utils                                             |
   Y      | https://forge.gluster.org/gluster-patch-acceptance-tests                               |  https://github.com/gluster/glusterfs-patch-acceptance-tests
   N      | https://forge.gluster.org/gluster-performance-stats-collection-and-analysis-tool       |
   Y      | https://forge.gluster.org/gluster-deploy                                               |  https://github.com/pcuzner/gluster-deploy
   N      | https://forge.gluster.org/gluster-site                                                 |  -- Do we need to migrate this?
   Y      | https://forge.gluster.org/glusterflow                                                  |  https://github.com/justinclift/glusterflow
   -      | https://forge.gluster.org/glusterfs-graphics                                           |  - Doesn't need migrating
   -      | https://forge.gluster.org/glusterfs-netgroup-and-export-access-control                 |  - Doesn't need migrating
   N      | https://forge.gluster.org/glusterfs-java-filesystem                                    |
   N      | https://forge.gluster.org/glusterfs-quota                                              |
   N      | https://forge.gluster.org/glusterfs-rackspace-regression-tester                        |
   N      | https://forge.gluster.org/glusterfs-tools                                              |
   N      | https://forge.gluster.org/glusterfsiostat                                              |
   N      | https://forge.gluster.org/glustergraph                                                 |
   N      | https://forge.gluster.org/glusterinfo                                                  |
   N      | https://forge.gluster.org/glusteriostat                                                |
   Y      | https://forge.gluster.org/gogfapi                                                      |  https://github.com/kshlm/gogfapi
   -      | https://forge.gluster.org/goo                                                          |  - Doesn't need migrating
   Y      | https://forge.gluster.org/gstatus                                                      |  https://github.com/pcuzner/gstatus
   Y      | https://forge.gluster.org/gtop                                                         |  https://github.com/pcuzner/gluster-monitor
   Y      | https://forge.gluster.org/hadoop                                                       |  https://github.com/gluster/glusterfs-hadoop
   Y      | https://forge.gluster.org/libgfapi-java-io                                             |  https://github.com/gluster/libgfapi-java-io
